          table          |                     index                     | index_size | size_bytes
 pg_replication_origin   | pg_replication_origin_roiident_index          | 8192 bytes |       8192
 pg_event_trigger        | pg_event_trigger_oid_index                    | 8192 bytes |       8192
 pg_statistic_ext_data   | pg_statistic_ext_data_stxoid_index            | 8192 bytes |       8192
 pg_default_acl          | pg_default_acl_oid_index                      | 8192 bytes |       8192
 pg_publication_rel      | pg_publication_rel_oid_index                  | 8192 bytes |       8192
 pg_seclabel             | pg_seclabel_object_index                      | 8192 bytes |       8192
 pg_largeobject          | pg_largeobject_loid_pn_index                  | 8192 bytes |       8192
 pg_subscription         | pg_subscription_oid_index                     | 8192 bytes |       8192
 pg_transform            | pg_transform_type_lang_index                  | 8192 bytes |       8192
 pg_publication          | pg_publication_pubname_index                  | 8192 bytes |       8192
 pg_publication_rel      | pg_publication_rel_prrelid_prpubid_index      | 8192 bytes |       8192
 pg_subscription         | pg_subscription_subname_index                 | 8192 bytes |       8192
 pg_largeobject_metadata | pg_largeobject_metadata_oid_index             | 8192 bytes |       8192
 pg_inherits             | pg_inherits_relid_seqno_index                 | 8192 bytes |       8192
 pg_subscription_rel     | pg_subscription_rel_srrelid_srsubid_index     | 8192 bytes |       8192
 pg_foreign_data_wrapper | pg_foreign_data_wrapper_name_index            | 8192 bytes |       8192
 pg_foreign_server       | pg_foreign_server_name_index                  | 8192 bytes |       8192
 pg_user_mapping         | pg_user_mapping_user_server_index             | 8192 bytes |       8192
 pg_policy               | pg_policy_polrelid_polname_index              | 8192 bytes |       8192
 pg_replication_origin   | pg_replication_origin_roname_index            | 8192 bytes |       8192
 pg_default_acl          | pg_default_acl_role_nsp_obj_index             | 8192 bytes |       8192
 pg_enum                 | pg_enum_typid_label_index                     | 8192 bytes |       8192
 pg_event_trigger        | pg_event_trigger_evtname_index                | 8192 bytes |       8192
 pg_db_role_setting      | pg_db_role_setting_databaseid_rol_index       | 8192 bytes |       8192
 pg_statistic_ext        | pg_statistic_ext_relid_index                  | 8192 bytes |       8192
 pg_shseclabel           | pg_shseclabel_object_index                    | 8192 bytes |       8192
 pg_enum                 | pg_enum_typid_sortorder_index                 | 8192 bytes |       8192
 pg_partitioned_table    | pg_partitioned_table_partrelid_index          | 8192 bytes |       8192
 pg_statistic_ext        | pg_statistic_ext_oid_index                    | 8192 bytes |       8192
 pg_inherits             | pg_inherits_parent_index                      | 8192 bytes |       8192
 pg_transform            | pg_transform_oid_index                        | 8192 bytes |       8192
